PDF EXTRACTION RUN
UTC: 2026-09-10T16:03:31.825163+00:00
REQUEST_ID: 2026-09-10_root_pdf_extraction_pass_002
REQUESTED_BY: Ravel / ChatGPT
TARGET: directory=. recursive=False include_images=False
RECURSIVE: False
INCLUDE_IMAGES: False
FORCE_OCR: False
OCR_THRESHOLD: 200
OCR_LANGUAGE: eng
MAX_FILES: 200
FOUND: 153
SUCCEEDED: 152
FAILED: 1
MANIFEST: _AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json

RESULTS:
OK |  ..✅ BOSONIC_TIME.pdf -> _AUTO_EXTRACTED_TEXT/ ..✅ BOSONIC_TIME.txt | pages=18 chars=32495 engine=PyMuPDF ocr=False
OK |  ..✅ SAT CORE.pdf -> _AUTO_EXTRACTED_TEXT/ ..✅ SAT CORE.txt | pages=5 chars=10516 engine=PyMuPDF ocr=False
OK |  ..✅ Satobloc Core.pdf -> _AUTO_EXTRACTED_TEXT/ ..✅ Satobloc Core.txt | pages=2 chars=7727 engine=PyMuPDF ocr=False
OK |  ..✅ SATOBLOC_pre_lean.pdf -> _AUTO_EXTRACTED_TEXT/ ..✅ SATOBLOC_pre_lean.txt | pages=4 chars=3933 engine=PyMuPDF ocr=False
OK |  ..✅ WANNA BOUNCE?.pdf -> _AUTO_EXTRACTED_TEXT/ ..✅ WANNA BOUNCE?.txt | pages=54 chars=99395 engine=PyMuPDF ocr=False
OK | ###. THEORY REFINEMENT SUMMARY.pdf -> _AUTO_EXTRACTED_TEXT/###. THEORY REFINEMENT SUMMARY.txt | pages=62 chars=59170 engine=PyMuPDF ocr=False
OK | % BIG PAPER (nolat).pdf -> _AUTO_EXTRACTED_TEXT/% BIG PAPER (nolat).txt | pages=7 chars=8790 engine=PyMuPDF ocr=False
OK | 0PHYS_REV_D_V_1_Submission.pdf -> _AUTO_EXTRACTED_TEXT/0PHYS_REV_D_V_1_Submission.txt | pages=2 chars=4439 engine=PyMuPDF ocr=False
OK | 2025.10.29+Prototype+Fact+Sheet.pdf -> _AUTO_EXTRACTED_TEXT/2025.10.29+Prototype+Fact+Sheet.txt | pages=2 chars=7827 engine=PyMuPDF ocr=False
OK | 25 SAT VERSIONS.pdf -> _AUTO_EXTRACTED_TEXT/25 SAT VERSIONS.txt | pages=133 chars=235349 engine=PyMuPDF ocr=False
OK | 2PHYS_REV_D_V_1_Submission.pdf -> _AUTO_EXTRACTED_TEXT/2PHYS_REV_D_V_1_Submission.txt | pages=1 chars=2917 engine=PyMuPDF ocr=False
