Date,Total,Returning,New
2/2/2025,1,0,1
2/3/2025,4,1,3
2/4/2025,4,2,2
2/5/2025,5,3,2
2/7/2025,2,2,0
2/8/2025,1,1,0
2/9/2025,1,0,1
2/11/2025,2,2,0
2/13/2025,1,1,0
2/14/2025,1,1,0
2/15/2025,1,0,1
2/16/2025,1,0,1
2/17/2025,1,1,0
2/24/2025,1,1,0
2/26/2025,1,0,1
2/27/2025,1,1,0
2/28/2025,1,1,0
3/1/2025,1,1,0
3/2/2025,1,1,0
3/3/2025,1,1,0
3/4/2025,1,1,0
3/5/2025,1,1,0
3/6/2025,2,1,1
3/9/2025,2,1,1
3/11/2025,1,1,0
3/12/2025,1,1,0
3/15/2025,2,2,0
3/23/2025,1,1,0
3/25/2025,1,1,0
3/27/2025,1,1,0
4/4/2025,1,1,0
4/5/2025,1,0,1
4/9/2025,1,1,0
4/19/2025,1,0,1
4/20/2025,1,1,0
4/22/2025,1,0,1
4/24/2025,1,1,0
4/27/2025,1,1,0
4/28/2025,1,1,0
4/29/2025,1,0,1
5/1/2025,1,0,1
5/6/2025,1,0,1
5/7/2025,1,1,0
5/8/2025,2,1,1
5/9/2025,1,1,0
5/10/2025,1,1,0
5/11/2025,1,1,0
5/12/2025,1,1,0
5/15/2025,2,0,2
5/16/2025,1,0,1
5/17/2025,1,1,0
5/18/2025,3,1,2
5/19/2025,1,1,0
5/20/2025,2,0,2
5/21/2025,2,1,1
5/23/2025,2,2,0
5/24/2025,1,0,1
5/25/2025,1,1,0
5/27/2025,1,1,0
5/28/2025,1,1,0
5/31/2025,2,1,1
6/1/2025,2,1,1
6/2/2025,3,1,2
6/3/2025,3,3,0
6/6/2025,1,1,0
6/9/2025,1,0,1
6/10/2025,1,1,0
6/12/2025,2,2,0
6/13/2025,1,1,0
6/20/2025,1,1,0
6/21/2025,1,1,0
6/23/2025,2,1,1
6/24/2025,1,1,0
6/28/2025,1,1,0
7/2/2025,2,2,0
7/3/2025,1,1,0
7/4/2025,2,2,0
7/5/2025,2,2,0
7/7/2025,1,1,0
7/8/2025,1,1,0
7/10/2025,2,1,1
7/11/2025,2,2,0
7/12/2025,1,1,0
7/14/2025,1,1,0
7/15/2025,1,1,0
7/16/2025,1,1,0
7/17/2025,1,1,0
7/18/2025,1,0,1
7/20/2025,2,2,0
7/21/2025,1,0,1
7/22/2025,1,1,0
7/24/2025,1,0,1
7/26/2025,1,1,0
7/28/2025,1,1,0
7/29/2025,2,1,1
8/2/2025,1,1,0
8/4/2025,1,0,1
8/5/2025,1,1,0
8/6/2025,3,3,0
8/7/2025,1,1,0
8/8/2025,1,1,0
8/9/2025,1,0,1
8/10/2025,1,0,1
8/11/2025,4,3,1
8/13/2025,2,2,0
