Episode title,Completion rate (%),Publish date,Episode URI
Minkowski Sufficiency,100,6/13/2026,spotify:episode:3bEfllUDczRRrjuduvKucu
Bass Ackwards,0,6/14/2026,spotify:episode:5Jpo9vY2B2sxjeHjl2dUHk
The Theory That Wasn’t A Theory,100,6/14/2026,spotify:episode:6lQli8V2O33xiQzmV0qWoM
2026 Pre-Synthesis,0,6/15/2026,spotify:episode:3JZXfSoBXi5GE8oE6CSeD4
The Two Fundamental Forces,0,6/15/2026,spotify:episode:3DPbRUsTZZuXEHbGTfQexl
WWRD? What Would Rope Do?,0,6/15/2026,spotify:episode:7kfIPKnEX3knQT8wLeMsOn
Time,0,6/15/2026,spotify:episode:0qM2b77j1bjMY1cjehUyRu
The Rabbit and the Duck,0,6/15/2026,spotify:episode:4SXehGDTw3vLgIYi0EjMda
Anarcheologist,0,6/16/2026,spotify:episode:6AENd3ASzSfLCV2jdto8HM
2026 ReSynthesis Overview,0,6/16/2026,spotify:episode:1kcaArGW5yEpIavPygOMOu
