Episode title,Consumption time (hours),Publish date,Episode URI
Are Photons… Neutrinos?,3.1,3/20/2026,spotify:episode:26OH2SKVxq2CPbtLjMmxrd
Light Cones and Bell’s Theorem,3.05,3/23/2026,spotify:episode:4THhTcRYGfqmqqn5PyM8On
String Gravity Predictions H0=71.2,2.89,5/18/2026,spotify:episode:5bZeyA0LRt31KyANpIU1yS
A Virtual Exploration,1.98,3/21/2026,spotify:episode:7M01asqKIh4C56SN9hWxCs
LLM Misconceptions on SAT,1.45,3/25/2026,spotify:episode:1MuePjylYObx0mfO3QxxEW
Final Unification Rough Draft Pt. 2,1.21,3/21/2026,spotify:episode:1WQBBYHR20Xh2E7XQOm8pl
Final Unification Rough Draft Pt. 1 ,1.11,3/21/2026,spotify:episode:6xFmsJjKn1YAxb1pbFoR1O
RMS-SAT Debug,1.05,6/13/2026,spotify:episode:6kC7WpsDdg3Nc15BDKK9x1
Tuesday in the 4th Dimension,1.02,4/14/2026,spotify:episode:4hincYzeJBQicbTn2hZCYw
Life As A Planetary Trauma Response,0.78,4/23/2026,spotify:episode:2Lwv7EMWI1vx2rhWcmAeq3
