Episode title,Total impressions,Home,Search,Library,Other Spotify Features,Publish date,Episode URI
Kissing Points & Lissajouss’,42,13,29,0,0,3/2/2026,spotify:episode:5SubU6XiaoiWrFSlx5lyza
Thoughts As 4D Objects,36,2,34,0,0,1/19/2026,spotify:episode:0n3rVXs5MmvaVRUvtnoCwO
Was Minkowski Right?,32,18,14,0,0,3/28/2026,spotify:episode:4iQN4QS8EELUhlAeIbElFW
Are Photons… Neutrinos?,31,9,22,0,0,3/20/2026,spotify:episode:26OH2SKVxq2CPbtLjMmxrd
Down to the Details,29,2,27,0,0,3/6/2026,spotify:episode:4ptKysqQymiGg6e1cQPFF7
The Map of Everything,27,1,26,0,0,12/21/2025,spotify:episode:4Zyoq70xO9ydtCDpLWjFDw
Nathan McKnight’s Podcasts,27,2,25,0,0,2/19/2026,spotify:episode:70BNKXKxfeywvFXzdd1ghf
Most Extreme Periodic Table Challenge,26,6,20,0,0,3/20/2026,spotify:episode:2zTcssKGsNQjMVUzXz8B9Y
Superdeterminism and SAT,26,0,26,0,0,4/21/2026,spotify:episode:7lqP9CKiQtMmGkVG8qaPq2
Do Stars Act Like Atoms?,25,4,21,0,0,3/14/2026,spotify:episode:2Gkb1HTmtdWETpJjHhkGp9
