Episode name,Publish date,Performance,Plays & downloads
2026 ReSynthesis Overview,6/16/2026,,
Anarcheologist,6/16/2026,,
The Rabbit and the Duck,6/15/2026,,
Time,6/15/2026,,
WWRD? What Would Rope Do?,6/15/2026,209% above normal,1
The Two Fundamental Forces,6/15/2026,,
2026 Pre-Synthesis,6/15/2026,209% above normal,1
The Theory That Wasn’t A Theory,6/14/2026,21% above normal,1
Bass Ackwards,6/14/2026,143% above normal,2
Minkowski Sufficiency,6/13/2026,0% above normal,1
RMS-SAT Debug,6/13/2026,200% above normal,3
Catching Up with the Field,6/11/2026,,
Topological Primacy,6/9/2026,100% above normal,2
The Prehistory of SAT,6/9/2026,,
The Glass Sausage Factory,6/8/2026,100% above normal,2
SAT Methodology,6/7/2026,0% above normal,1
Worldlines to Worldtube Manifolds and Kelvin Vortices,6/7/2026,,
Remedial Math Student Considers Institutions,6/5/2026,,
The Scorecard 2026 (Cumulative),6/4/2026,,
Throwback: SAT One Year Ago 3 — The Debate,5/26/2026,0% above normal,1
Throwback: SAT One Year Ago 2,5/26/2026,0% above normal,1
Throwback Ep: SAT One Year Ago 1,5/26/2026,0% above normal,1
The Ongoing Big Bang,5/24/2026,,
Why No Tetraquarks,5/23/2026,200% above normal,3
Grand Unification Audit,5/23/2026,100% above normal,2
LLM Sensationalism,5/23/2026,,
Persistent AI TOE Hallucinations,5/23/2026,,
Black Hole Conjecture,5/23/2026,0% above normal,1
Unification Missing Piece?,5/23/2026,0% above normal,1
Ampère’s Understanding,5/22/2026,,
How Science Sciences and More,5/21/2026,0% above normal,1
String Gravity Predictions H0=71.2,5/18/2026,100% above normal,2
The Least Radical TOE,5/18/2026,,
Physics Without Magic,5/18/2026,,
Predictions for Upcoming Observations,5/18/2026,,
Predictions from Scalar-Angular Torsion Filamental Physics,5/18/2026,,
Background for SAT Predictions,5/18/2026,,
AI Weirdness,5/17/2026,0% above normal,1
Making AI Music Weird,5/17/2026,0% above normal,1
McKnight’s Intellectual Universe,5/17/2026,,
McKnight’s Camera Talk Pt 2,5/17/2026,,
A Review of McKnight’s Camera Talk,5/17/2026,,
"The Two Rocks, Revisited",5/17/2026,0% above normal,1
The Mass of the Photon,5/17/2026,0% above normal,1
A Poem,5/16/2026,100% above normal,2
The Residual Strong Force in Context,5/16/2026,,
Welcome to the Zottenwelt,5/15/2026,,
No More Wick Rotation,5/15/2026,,
THROWBACK EP: Equivalence and its Limits RMS & Science,5/11/2026,,
SAT’s Conservative Methodology,5/10/2026,,
What SAT *Is*,5/10/2026,,
How the Universe Scales,5/10/2026,,
Electrogravacoustics 2,5/9/2026,0% above normal,1
Electrogravacoustics 1,5/9/2026,,
GR-QCD-QED-QFT-SM-ST Unification in Plain English,5/9/2026,0% above normal,1
Renormalization Is Obsolete,5/8/2026,100% above normal,2
SAT Predictions March 2026,5/8/2026,,
A New Interpretation of String Theory Dimensions?,5/8/2026,,
"EVENT TOMORROW! COLUMBUS, OHIO",5/6/2026,0% above normal,1
Bosons Reclassified,5/5/2026,0% above normal,1
Electro-Gravity Unification ,5/5/2026,,
