ν (max)	e	μ	τ	u	d	s	c	b	W	Z	H	t			ν (max)	e	μ	τ	u	d	s	c	b	t	W	Z	H
0.000001	0.5109989461	105.6583745	1776.86	2.16	4.67	93	1270	4180	80379	91187.6	125250	172760		Rest mass	0.8065543935	0.01745329252	0.01745329252	0.01745329252	0.01745329252	0.01745329252	0.01745329252	0.01745329252	0.01745329252	0.01745329252	0.01745329252	0.01745329252	0.01745329252
1.78E-36	9.11E-31	1.88E-28	3.17E-27	3.85E-30	8.33E-30	1.66E-28	2.26E-27	7.45E-27	1.43E-25	1.63E-25	2.23E-25	3.08E-25		Particle mass	1.44E-30	3.11E-32	3.11E-32	3.11E-32	3.11E-32	3.11E-32	3.11E-32	3.11E-32	3.11E-32	3.11E-32	3.11E-32	3.11E-32	3.11E-32
1.97E-07	3.86E-13	1.87E-15	1.11E-16	9.14E-14	4.23E-14	2.12E-15	1.55E-16	4.72E-17	2.45E-18	2.16E-18	1.58E-18	1.14E-18		λ_C	1.59E-01	1.32E-14	3.09E-19	1.09E-21	7.38E-16	1.58E-16	3.98E-19	2.14E-21	1.97E-22	1.15E-25	5.33E-25	4.14E-25	2.20E-25
3.21E-21	2.30E-18	3.30E-17	1.35E-16	4.72E-18	6.94E-18	3.10E-17	1.14E-16	2.08E-16	9.11E-16	9.70E-16	1.14E-15	1.34E-15		θ₄	2.59E-15	7.84E-20	5.45E-21	1.33E-21	3.81E-20	2.59E-20	5.81E-21	1.57E-21	8.67E-22	1.35E-22	1.98E-22	1.86E-22	1.58E-22
2.29E-11	2.93E+01	6.05E+03	1.02E+05	1.24E+02	2.68E+02	5.33E+03	7.28E+04	2.39E+05	4.61E+06	5.22E+06	7.18E+06	9.90E+06		θ₄°	1.85E-05	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00
6.34E-28	8.87E-31	6.17E-32	1.50E-32	4.31E-31	2.93E-31	6.57E-32	1.78E-32	9.80E-33	2.24E-33	2.10E-33	1.79E-33	1.53E-33		helix radius r	5.11E-22	3.03E-32	1.02E-35	1.48E-37	3.48E-33	1.10E-33	1.23E-35	2.44E-37	4.09E-38	1.54E-40	4.85E-40	4.02E-40	2.50E-40
1.24E-06	2.43E-12	1.17E-14	6.98E-16	5.74E-13	2.65E-13	1.33E-14	9.76E-16	2.97E-16	1.54E-17	1.36E-17	9.90E-18	7.18E-18		pitch P	1.00E+00	8.29E-14	1.94E-18	6.85E-21	4.64E-15	9.92E-16	2.50E-18	1.34E-20	1.24E-21	7.25E-25	3.35E-24	2.60E-24	1.38E-24
1.73E+05												RAW			VERTICAL												
																											
												HORIZONTAL			Z-SCORE												
