"FullName","CreationTime","LastWriteTime","LastAccessTime"
"C:\Users\Admin\SAT_LOCALARCHIVE\SATiii REWORK MARK III.txt","4/25/2025 4:35:16 AM","4/25/2025 4:35:18 AM","10/27/2025 11:13:33 PM"
"C:\Users\Admin\SAT_LOCALARCHIVE\SATv EXPLORATIONS.txt","5/7/2025 1:11:12 PM","5/7/2025 1:11:12 PM","10/27/2025 11:13:33 PM"
"C:\Users\Admin\SAT_LOCALARCHIVE\SATx-y FULL LOG.txt","5/30/2025 9:49:25 PM","5/30/2025 9:49:36 PM","10/27/2025 11:13:29 PM"
"C:\Users\Admin\SAT_LOCALARCHIVE\SATxy CYCLETHROUGH2-4.txt","5/31/2025 12:29:25 AM","5/31/2025 12:29:25 AM","10/27/2025 11:13:29 PM"
"C:\Users\Admin\SAT_LOCALARCHIVE\SATxy CYCLETHROUGH4-4.txt","5/31/2025 12:30:31 AM","5/31/2025 12:30:31 AM","10/27/2025 11:13:29 PM"
"C:\Users\Admin\SAT_LOCALARCHIVE\SATxy CYCLETHROUGH3-4.txt","5/31/2025 12:25:39 AM","5/31/2025 12:31:02 AM","10/27/2025 11:13:29 PM"
"C:\Users\Admin\SAT_LOCALARCHIVE\HoloJesu Fleshlight.txt","5/31/2025 1:11:06 AM","5/31/2025 1:11:06 AM","10/27/2025 11:13:35 PM"
"C:\Users\Admin\SAT_LOCALARCHIVE\SAT-Y Hamiltonian+Quantum.txt","5/31/2025 1:19:03 AM","5/31/2025 1:39:00 AM","10/27/2025 11:13:34 PM"
"C:\Users\Admin\SAT_LOCALARCHIVE\SAT FIRST LEG 3 of 3.txt","6/1/2025 6:32:07 AM","6/1/2025 6:37:19 AM","10/27/2025 11:13:34 PM"
"C:\Users\Admin\SAT_LOCALARCHIVE\SAT RETRODICTED DATA JUNE 1 2025.txt","6/1/2025 9:30:11 AM","6/1/2025 9:35:13 AM","10/27/2025 11:13:34 PM"
"C:\Users\Admin\SAT_LOCALARCHIVE\FileIndex.csv","10/27/2025 11:35:11 PM","10/27/2025 11:35:11 PM","10/27/2025 11:35:11 PM"
