frame,phase,epsilon,shape_determinant,circumference,curvature_mean,curvature_min,curvature_max,surface_forced_speed_per_phase,internal_speed_per_phase,moving_constraint_residual,constraint_max_absolute,minimum_jacobian_singular_value,bifurcation_flag,point_count
0,0.0,0.0,1.0,5.129807331092378,1.22474508090231,1.2247448713854336,1.2247602705956322,0.2857738033247041,0.25,7.850462293418876e-17,1.312283615106935e-13,1.4142135623730945,False,148
1,0.2617993877991494,0.09058666578588226,1.0,5.151584878201596,1.245238020178317,1.159059312210609,1.3822738855714938,0.24658745977023305,0.25,1.7772239894833365e-16,1.9317880628477724e-13,1.4142135623730943,False,148
2,0.5235987755982988,0.17499999999999996,1.0,5.2070730371141645,1.2949752412207003,1.1547040996122313,1.6051081286719868,0.19243051113323512,0.25,7.076311083754595e-17,2.433608869978343e-13,1.4142135623730945,False,150
3,0.7853981633974483,0.24748737341529164,1.0000000000000002,5.274526782963262,1.3493701591609497,1.154712603828572,1.8442854376762763,0.13692198123031885,0.25,5.637184056103667e-17,2.4935609133081016e-13,1.4142135623730945,False,152
4,1.0471975511965976,0.3031088913245535,1.0,5.333877419914713,1.3941371731786423,1.1547063473956356,2.0544272593424555,0.08644168095839552,0.25,3.5381555418772973e-17,2.76445533131664e-13,1.4142135623730945,False,154
5,1.308996938995747,0.33807403920117385,1.0,5.372973799027534,1.4205917930059848,1.1547006172886531,2.1980532436214193,0.041567344916160126,0.25,2.8662335771926895e-17,3.141931159689193e-13,1.4142135623730945,False,155
6,1.5707963267948966,0.35,1.0,5.3864644469007334,1.4275597889011964,1.1547026981725592,2.2487949827777745,9.58695474869396e-18,0.25,2.1958979930528757e-33,3.115285807098189e-13,1.4142135623730945,False,155
7,1.832595714594046,0.3380740392011739,1.0,5.372973799027545,1.420591793005984,1.154700617292009,2.1980532436206226,0.04156734491616006,0.25,2.8662335771926895e-17,3.093081346605686e-13,1.4142135623730943,False,155
8,2.0943951023931953,0.30310889132455354,1.0,5.333877419914713,1.3941371731785994,1.1547063473936166,2.054427259262841,0.08644168095839093,0.25,6.147875662259241e-17,2.717825964282383e-13,1.4142135623730943,False,154
9,2.356194490192345,0.24748737341529164,1.0000000000000002,5.274526782963264,1.3493701591609641,1.1547126038281115,1.844285437710214,0.13692198123032512,0.25,9.463389583759429e-17,2.5512925105886097e-13,1.4142135623730943,False,152
10,2.617993877991494,0.1750000000000001,1.0,5.2070730371141645,1.2949752412207003,1.1547040996061197,1.6051081286718982,0.192430511133235,0.25,8.326672684688674e-17,2.4646951146678475e-13,1.4142135623730945,False,150
11,2.8797932657906435,0.09058666578588236,1.0,5.151584878201596,1.2452380201783182,1.1590593122085207,1.3822738855683185,0.24658745977023308,0.25,1.5328517645723046e-16,1.9584334154387761e-13,1.4142135623730945,False,148
12,3.141592653589793,4.286263797015736e-17,0.9999999999999999,5.129807331092378,1.2247450809023075,1.2247448713840692,1.2247602705985643,0.28577380332470403,0.25,1.0385185452638061e-16,1.3278267374516872e-13,1.414213562373094,False,148
13,3.4033920413889422,-0.09058666578588212,1.0,5.151585263694273,1.2454698336708936,1.1590593866424588,1.3822586320836623,0.29487181222909026,0.25,2.387624894196368e-16,1.9739765377835283e-13,1.4142135623730945,False,148
14,3.665191429188092,-0.1749999999999999,1.0,5.207072295155472,1.2941881010307017,1.1547006896398948,1.604926815133915,0.26883356764164884,0.25,1.6653345369377348e-16,2.3869795029440866e-13,1.4142135623730943,False,150
15,3.926990816987241,-0.24748737341529148,1.0,5.274525454020033,1.347887307179265,1.154711277252285,1.8440651732684725,0.21579448184135253,0.25,7.850462293418876e-17,2.540190280342358e-13,1.4142135623730943,False,152
16,4.1887902047863905,-0.30310889132455343,1.0,5.333875907774127,1.3905631965091376,1.1547007704898418,2.0539209247194177,0.14818271426850727,0.25,1.3877787807814457e-16,2.851052727237402e-13,1.4142135623730945,False,154
17,4.45058959258554,-0.3380740392011738,1.0,5.372971627099226,1.4172158294573685,1.1547142407862687,2.1974023304425905,0.07486612559415161,0.25,5.887846720064156e-17,3.2018832030189515e-13,1.414213562373094,False,155
18,4.71238898038469,-0.35,1.0,5.386462935387989,1.426559946316657,1.1547914541270095,2.246842003350977,5.265197856535474e-17,0.25,3.0192292122211267e-32,3.0331293032759277e-13,1.4142135623730945,False,155
19,4.974188368183839,-0.3380740392011739,1.0,5.372971627099225,1.4172158294573545,1.154714240784956,2.197402330442589,0.07486612559414639,0.25,3.925231146709438e-17,3.086420008457935e-13,1.4142135623730945,False,155
20,5.235987755982988,-0.30310889132455365,1.0,5.333875907774129,1.3905631965091807,1.1547007704872874,2.0539209247190415,0.14818271426851717,0.25,2.1228933251263786e-16,2.802202914153895e-13,1.4142135623730945,False,154
21,5.497787143782138,-0.24748737341529167,1.0,5.2745254540200195,1.347887307179263,1.15471127724584,1.8440651732683255,0.2157944818413523,0.25,7.850462293418876e-17,2.5002222514558525e-13,1.4142135623730943,False,152
22,5.759586531581287,-0.17500000000000016,1.0,5.2070722951554735,1.2941881010307035,1.1547006896402476,1.6049268151339668,0.26883356764164873,0.25,6.798699777552591e-17,2.4225066397320916e-13,1.4142135623730945,False,150
23,6.021385919380436,-0.09058666578588255,1.0,5.1515852636942725,1.245469833670892,1.159059386644523,1.3822586320871009,0.29487181222909026,0.25,3.925231146709438e-17,1.9406698470447736e-13,1.4142135623730943,False,148
24,6.283185307179586,-8.572527594031472e-17,1.0,5.129807331092378,1.2247450809023075,1.2247448713850277,1.224760270596343,0.28577380332470403,0.25,8.777083671441753e-17,1.318944953254686e-13,1.4142135623730943,False,148
