frame,separation,relative_gap_to_critical,classification,numerical_status,numerical_note,radius_exact,radius_numeric,radius_relative_error,circumference_exact,circumference_numeric,circumference_relative_error,curvature_exact,curvature_numeric,curvature_relative_error,radius_derivative_exact,radius_derivative_numeric,radius_derivative_relative_error,singular_values_exact,singular_values_numeric,smallest_singular_value,constraint_max_absolute,closure_return_error,trace_steps,minimum_step_used
0,1.0,0.4226497308103742,regular_closed_carrier,traced_and_certified,,0.816496580927726,0.8164965809278024,9.355010893912366e-14,5.130199320647456,5.129807331092378,7.640825055290106e-05,1.224744871391589,1.2247450809023113,1.71064788447331e-07,-0.4082482904638631,-0.4082482904638631,0.0,"[2.82842712474619, 1.4142135623730951, 1.4142135623730951]","[2.8284271247461903, 1.4142135623730956, 1.4142135623730951]",1.4142135623730951,1.354472090042691e-13,5.600358003019676e-16,147,0.03499999999999998
1,1.0586771151991303,0.3887724825548856,regular_closed_carrier,traced_and_certified,,0.7914549399162801,0.7914549399163747,1.1951533426283136e-13,4.972858049776674,4.972452687509884,8.151494829173147e-05,1.2634958095097362,1.2634968152101962,7.959665971602386e-07,-0.4458780328926525,-0.4458780328926523,3.734955333264137e-16,"[2.7416803356727404, 1.4971955344886336, 1.4971955344886336]","[2.741680335672741, 1.4971955344886336, 1.4971955344886336]",1.4971955344886336,1.5898393712632242e-13,1.2778514124002275e-16,143,0.035
2,1.1173542303982607,0.35489523429939707,regular_closed_carrier,traced_and_certified,,0.7640941311581776,0.7640941311582974,1.5677788831524953e-13,4.800945018195213,4.800525384809761,8.740641350009458e-05,1.3087392759897887,1.3087402357098994,7.333165041524789e-07,-0.48744178883851574,-0.4874417888385158,1.1388262660764213e-16,"[2.646899713862322, 1.5801775066041723, 1.5801775066041723]","[2.6468997138623216, 1.5801775066041723, 1.5801775066041719]",1.5801775066041719,1.9317880628477724e-13,5.137136431079707e-17,138,0.035
3,1.176031345597391,0.32101798604390847,regular_closed_carrier,traced_and_certified,,0.7341549051284273,0.7341549051285394,1.527368743351585e-13,4.612831313096757,4.612395259081857,9.453066572423971e-05,1.3621103571119884,1.3621104523313583,6.990576750791092e-08,-0.5339614920421848,-0.533961492042185,4.158438543494987e-16,"[2.54318719261669, 1.6631594787197108, 1.6631594787197108]","[2.5431871926166902, 1.663159478719711, 1.663159478719711]",1.663159478719711,2.4358293160275934e-13,4.45349162505122e-16,132,0.035
4,1.2347084607965213,0.2871407377884199,regular_closed_carrier,traced_and_certified,,0.7013071169460365,0.7013071169460646,4.005184297192552e-14,4.406442573015813,4.4059857864598495,0.00010366334030097957,1.4259088148922165,1.4259088566737803,2.9301708025060316e-08,-0.5868605593572536,-0.5868605593572536,0.0,"[2.429399116520367, 1.7461414508352495, 1.7461414508352495]","[2.4293991165203677, 1.7461414508352497, 1.7461414508352493]",1.7461414508352493,3.1463720517876936e-13,1.181404076487747e-16,126,0.035
5,1.2933855759956514,0.25326348953293143,regular_closed_carrier,traced_and_certified,,0.6651199770984673,0.665119977098467,3.3384143097563113e-16,4.179072067616713,4.178590697555109,0.00011518587232182472,1.5034881441426855,1.5034890698965104,6.157373628375066e-07,-0.6481966264382067,-0.6481966264382071,5.138362246926914e-16,"[2.3040431869271867, 1.8291234229507878, 1.8291234229507878]","[2.3040431869271867, 1.8291234229507878, 1.8291234229507876]",1.8291234229507876,1.7763568394002505e-15,1.3396728122481548e-15,120,0.035
6,1.352062691194782,0.21938624127744275,regular_closed_carrier,traced_and_certified,,0.6250137276036754,0.6250137276036752,1.776317824060906e-16,3.927077070064957,3.9265640811874216,0.0001306286758275909,1.5999648581064534,1.599966896068566,1.273754296724989e-06,-0.721084263956163,-0.7210842639561631,1.5396578182610994e-16,"[2.1651110632751602, 1.9121053950663267, 1.9121053950663267]","[2.16511106327516, 1.9121053950663265, 1.9121053950663263]",1.9121053950663263,2.220446049250313e-16,1.178390319666123e-16,113,0.035
7,1.410739806393912,0.18550899302195428,regular_closed_carrier,traced_and_certified,,0.5801761797522277,0.5801761797522277,0.0,3.6453544481947797,3.6448015043877193,0.0001516845110450686,1.7236143690474572,1.7236174667147222,1.7971927599033363e-06,-0.8105238004292581,-0.8105238004292585,5.47903972239767e-16,"[2.009789241344144, 1.995087367181865, 1.995087367181865]","[2.0097892413441443, 1.995087367181865, 1.9950873671818647]",1.9950873671818647,2.220446049250313e-16,1.2414947795163157e-16,105,0.035
8,1.4694169215930424,0.1516317447664657,regular_closed_carrier,traced_and_certified,,0.5294065578664557,0.529406557866456,4.1942171215235053e-16,3.326359505911034,3.325753245504439,0.00018225943573371933,1.8889074665604213,1.8889074716122098,2.67444998364124e-09,-0.9251975315624423,-0.9251975315624427,3.599954561325675e-16,"[2.0780693392974037, 2.0780693392974037, 1.8339181121697083]","[2.0780693392974032, 2.0780693392974032, 1.8339181121697081]",1.8339181121697081,2.220446049250313e-16,3.8995670001194516e-17,95,0.035
9,1.5280940367921727,0.11775449651097714,regular_closed_carrier,traced_and_certified,,0.4707896256008629,0.4707896256008629,0.0,2.9580584583479204,2.9573789025333923,0.00022973035323567854,2.1240909859126833,2.1240937176501835,1.2860736749616368e-06,-1.0819369230590596,-1.0819369230590594,2.0522878939857622e-16,"[2.161051311412942, 2.161051311412942, 1.6308631024340479]","[2.161051311412942, 2.1610513114129417, 1.6308631024340479]",1.6308631024340479,1.2434497875801753e-14,1.3211780779510702e-14,85,0.035
10,1.586771151991303,0.08387724825548856,regular_closed_carrier,traced_and_certified,,0.4008978719525265,0.4008978719525265,0.0,2.5189156187316777,2.5181443897703697,0.0003061749887820057,2.494400868554418,2.494410839257763,3.997233752954878e-06,-1.3193477799080668,-1.3193477799080668,0.0,"[2.2440332835284806, 2.2440332835284806, 1.3887509657360357]","[2.244033283528481, 2.2440332835284806, 1.388750965736036]",1.388750965736036,4.884981308350689e-15,6.050884182471994e-15,74,0.03436983288379609
11,1.6454482671904334,0.04999999999999999,regular_closed_carrier,traced_and_certified,,0.31224989991992014,0.31224989991991997,5.333338897353779e-16,1.9619239833451385,1.9613232912915453,0.00030617498878272387,3.2025630761017405,3.202575877494972,3.997233755426428e-06,-1.756550621379891,-1.7565506213798905,2.5281890794652997e-16,"[2.327015255644019, 2.327015255644019, 1.0816653826391975]","[2.3270152556440187, 2.3270152556440187, 1.0816653826391978]",1.0816653826391978,3.3306690738754696e-15,5.1631105374595195e-15,74,0.026769852446362097
12,1.7147302994931883,0.010000000000000049,regular_closed_carrier,traced_and_certified,,0.14106735979665974,0.14106735979991697,2.3089875825928953e-11,0.8863523623969888,0.8860809834929438,0.00030617496557581325,7.088812050083314,7.08884038535795,3.997182382009698e-06,-4.051800269896761,-4.051800269896763,4.384117481302976e-16,"[2.424994845355346, 2.424994845355346, 0.4886716689148277]","[2.424994845355346, 2.4249948453553456, 0.4886716689148277]",0.4886716689148277,9.490186414495838e-13,1.5822202978334506e-15,74,0.012094006780219773
13,1.7303187567613083,0.0010000000000000048,regular_closed_carrier,traced_and_certified,,0.044710177812217256,0.044710177813292895,2.4058047407589588e-11,0.2809223323111102,0.28083632092595934,0.0003061749646005304,22.366272042128752,22.366361444133453,3.997179526934519e-06,-12.900260011107143,-12.900260011107145,1.3769930512026924e-16,"[2.4470402530403947, 2.4470402530403947, 0.154880599172398]","[2.447040253040395, 2.4470402530403947, 0.15488059917239796]",0.15488059917239796,1.0302869668521453e-13,1.1317699522634325e-15,74,0.0038330992682163367
14,1.7318776024881204,9.999999999994921e-05,near_critical_closed_carrier,traced_and_certified,,0.014141782065922199,0.014141782066299836,2.670364710016432e-11,0.08885543729393813,0.08882823198380638,0.00030617496194137767,70.71244595189489,70.71272860177538,3.997173010838866e-06,-40.821767120412844,-40.82176712041284,1.7405976906002061e-16,"[2.4492447938089, 2.4492447938089, 0.04898857009548722]","[2.4492447938089, 2.4492447938088997, 0.048988570095487245]",0.048988570095487245,1.2434497875801753e-14,2.0090440124276564e-15,74,0.0012124052540303041
15,1.7320334870608016,9.999999999930822e-06,near_critical_closed_carrier,traced_and_certified,,0.004472124774647028,0.004472124774805462,3.5427014622359793e-11,0.028099188675936023,0.028090585408159792,0.00030617495314371547,223.6073567690041,223.60825056255152,3.99715626683379e-06,-129.09847662568896,-129.09847662568893,2.201552657573997e-16,"[2.4494652478857506, 2.4494652478857506, 0.015491894654952336]","[2.4494652478857497, 2.449465247885749, 0.015491894654952341]",0.015491894654952341,6.8400840547155894e-12,7.647360219034671e-10,74,0.00038340483173805506
16,1.7320490755180695,1.000000000057181e-06,near_critical_closed_carrier,traced_and_certified,,0.001414213208887067,0.001414222700939604,6.711896393936696e-06,0.008885763655298515,0.008883103004289435,0.00029942851422716673,707.1069579296058,707.0991382695431,1.1058666549587933e-05,-408.24798425812264,-408.2479842581227,1.3923747587904236e-16,"[2.4494872932934353, 2.4494872932934353, 0.004898978261054836]","[2.4494872932934353, 2.449487293293435, 0.004898978261054836]",0.004898978261054836,2.7299718041717824e-11,2.3532523759500974e-10,74,0.00012124352622470742
17,1.7320506343637965,9.999999998007859e-08,near_critical_closed_carrier,traced_and_certified,,0.00044721358433498406,0.0004472166082005987,6.761569238020132e-06,0.002809925822264691,0.0028090845901409993,0.00029937876545562493,2236.0680333246605,2236.0431814229623,1.1114108035985776e-05,-1290.9943518668617,-1290.9943518668626,7.044916195471652e-16,"[2.449489497834204, 2.449489497834204, 0.0015491932998063626]","[2.4494894978342043, 2.4494894978342043, 0.0015491932998063622]",0.0015491932998063622,2.3175850127898912e-10,2.591891040258534e-07,74,3.8340578068164505e-05
18,1.732050790248369,1.0000000036467113e-08,near_critical_closed_carrier,conditioning_limit,Carrier correction failed: `gtol` termination condition is satisfied.,0.00014142135620009053,,,0.0008885765873978195,,,7071.067813726424,,,-4082.4828648882203,,,"[2.4494897182882807, 2.4494897182882807, 0.0004898979484277053]","[2.4494897182882807, 2.4494897182882807, 0.0004898979484277053]",0.0004898979484277053,,,,
19,1.7320508075688772,0.0,rank_loss_point,rank_loss_evaluated,,0.0,0.0,0.0,0.0,,,,,,,,,"[2.4494897427831783, 2.4494897427831783, 0.0]","[2.449489742783178, 2.449489742783178, 0.0]",0.0,,,,
20,1.7320525396196846,-9.999999999289834e-07,no_real_carrier,no_real_carrier,,,,,,,,,,,,,,"[2.449492192272921, 2.449492192272921, 0.0]","[2.449492192272921, 2.449492192272921, 0.0]",0.0,,,,
