output_file,output_bytes,output_MB_decimal,estimated_extracted_words,source_pdf,source_start_page,source_end_page,source_pages_in_output
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\1-2-Nathan-Brian-Daniel.pdf,1,32,32
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\4.2 Spike response model (SRM).pdf,1,16,16
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\10.3934_cpaa.2026045.pdf,1,13,13
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\59_On_the_Expressive_Power_of_.pdf,1,4,4
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\123_Clifford_Algebraic_Rotor_E.pdf,1,5,5
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\0712.0108.pdf,1,44,44
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\1204.3714v6.pdf,1,99,99
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\1305.5181v2.pdf,1,16,16
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\1609.08072v1.pdf,1,92,92
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\1707.08096v1.pdf,1,155,155
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\1802.01423v3.pdf,1,31,31
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2012Morrison.pdf,1,12,12
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2202.13795v2.pdf,1,15,15
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2203.16837v1.pdf,1,37,37
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2210.00372v2.pdf,1,27,27
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2404.05222v1.pdf,1,29,29
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2407.08854v3.pdf,1,43,43
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2409.08995v2.pdf,1,36,36
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2504.21744v1.pdf,1,8,8
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2505.14724v3.pdf,1,14,14
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2507.06279v1.pdf,1,28,28
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2509.16868v1.pdf,1,26,26
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2510.21301v1.pdf,1,20,20
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2601.02124v1.pdf,1,23,23
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2601.16785v1.pdf,1,23,23
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2602.14064v3.pdf,1,18,18
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2603.03135v1.pdf,1,21,21
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2604.03770v2.pdf,1,33,33
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2605.25145v1.pdf,1,23,23
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2605.30827v1.pdf,1,19,19
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2606.17607v1.pdf,1,13,13
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2606.27164v1.pdf,1,17,17
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2607.01264v1.pdf,1,6,6
HsHtoolkit_1.pdf,26091781,26.092,471819,D:\__SAT26\HsH_TOOLKIT\2607.01371v1.pdf,1,57,57
HsHtoolkit_2.pdf,44522344,44.522,477748,D:\__SAT26\HsH_TOOLKIT\2607.01482v2.pdf,1,82,82
HsHtoolkit_2.pdf,44522344,44.522,477748,D:\__SAT26\HsH_TOOLKIT\2607.01732v1.pdf,1,24,24
HsHtoolkit_2.pdf,44522344,44.522,477748,D:\__SAT26\HsH_TOOLKIT\2607.01991v1.pdf,1,15,15
HsHtoolkit_2.pdf,44522344,44.522,477748,D:\__SAT26\HsH_TOOLKIT\2607.03019v1.pdf,1,25,25
HsHtoolkit_2.pdf,44522344,44.522,477748,D:\__SAT26\HsH_TOOLKIT\2607.03139v1.pdf,1,34,34
HsHtoolkit_2.pdf,44522344,44.522,477748,D:\__SAT26\HsH_TOOLKIT\2607.03234v1.pdf,1,43,43
HsHtoolkit_2.pdf,44522344,44.522,477748,D:\__SAT26\HsH_TOOLKIT\2607.03497v1.pdf,1,16,16
HsHtoolkit_2.pdf,44522344,44.522,477748,D:\__SAT26\HsH_TOOLKIT\2607.03649v1.pdf,1,47,47
