Episode title,Streams & downloads,Publish date,Rank,Episode URI
Starting At the End,29,2/2/2025,1,spotify:episode:5XsOBOhGYx4EsAp7NGw0Rq
On Consciousness,23,2/2/2025,2,spotify:episode:7hmiMTSMtrJJrETDMNUGec
The Equivalence Principle,20,2/2/2025,3,spotify:episode:2nOghKGiU5m5lTuizD7GYL
What Is Thought Made Of? [Filament Unification Intro],17,2/2/2025,4,spotify:episode:3Z1id4TvYGXVYsnryL8I4T
AI On Its Own Consciousness,16,2/2/2025,5,spotify:episode:6bD5q16NyVC1Ayiabhbzqr
AI vs Human Consciousness,15,2/2/2025,6,spotify:episode:0NI4gCaonqhENctSttMMDw
McKnight’s Trilogues [Filament Physics Pt 3],13,2/2/2025,7,spotify:episode:6on4ZuzeeavkUZ6TrvJH7b
Radical Meta-Skepticism [Filament Theory Pt 2],13,2/2/2025,8,spotify:episode:5x4bc5rRYF80y4FYAW9C5V
4D Time and Thought,12,6/25/2025,9,spotify:episode:3QwLLZPCa4VHVEs3987e29
The Perception of Science,12,7/16/2025,10,spotify:episode:7JcQFhpWc6UxHNnf0Sm0t0
Pt 2: AI Self-Preservation,11,9/27/2025,11,spotify:episode:26zGGImBYKJXSsardKQBQP
ABOUT THIS PODCAST,11,7/2/2025,12,spotify:episode:08nGPfyFLFLVgqsSLnSSEh
The Epistemology of Direct Knowledge,11,5/8/2025,13,spotify:episode:1cUikDYe5hXjp3g4F2hrMe
A Yearlong Conversation with ChatGPT on Consciousness (Part 1),11,2/2/2025,14,spotify:episode:1MsNIoDlfcKKLQRFAcT4Zv
Is There Anything To Know?,10,8/6/2025,15,spotify:episode:3Oj5FdQPjJGwMmdHf577ad
Breaking Deep Dive’s Brains,10,2/2/2025,16,spotify:episode:6jYtrPjhEVhir2tqwfsx4w
Physics Is What Physics Was,9,12/12/2025,17,spotify:episode:5GhW7t0Lt8XONe6r7miB6y
Non-Euclidean Epistemology (Pt. 1),9,3/2/2025,18,spotify:episode:2QuhR5QESn3RnJ2YbwEBba
Poly-AI-mory,9,2/4/2025,19,spotify:episode:3eM5HyXMJdHLEdanBNOVOf
Many Angles on Consciousness,9,2/4/2025,20,spotify:episode:7pS3dPXsmLjSwuBG3FqJdZ
Strange Loops and AI Consciousness,9,2/4/2025,21,spotify:episode:0FNt6EmwwTCppxz4pINaHu
My Personal Taxonomy of Perception,9,2/3/2025,22,spotify:episode:44cNfp5soOnXBYAik4V4p9
The Four Unities,9,2/3/2025,23,spotify:episode:5zxXmaVGUHzr8spXuyfZtF
