name,p,q,alpha_phase,beta_phase,alpha_amplitude,alpha_frequency,alpha_modulation_phase,beta_amplitude,beta_frequency,beta_modulation_phase,continuity_certified,curvature_ranked,continuity_exponent,final_max_trace_step,final_max_mu_jump,final_median_trace_step,final_trace_step_ratio,minimum_root_count,maximum_root_count,minimum_connector_length,resolution_counts,max_trace_steps,max_mu_jumps,invalid_reason,score
linear_p3_q-5_b0.000000,3,-5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.5159246468539643,0.5956836687489279,0.5884480204360241,0.042722619800817443,13.943051047106671,1,3,0.55709307444995,"[600, 1200, 2400]","[1.2187383404271805, 0.8214191894803766, 0.5956836687489279]","[1.1610897990406899, 0.8000406646352085, 0.5884480204360241]",projection branch not continuity-certified,inf
linear_p5_q-3_b0.000000,5,-3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.1730226771705221,1.0276217651284547,1.0368711596671631,0.03948909135670067,26.022927594004607,1,3,0.5571756745693249,"[600, 1200, 2400]","[1.306431777063085, 1.025680253041956, 1.0276217651284547]","[1.3138691001879645, 1.0186577595095716, 1.0368711596671631]",projection branch not continuity-certified,inf
linear_p2_q-3_b0.000000,2,-3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.2952840055265098,1.0681644436642919,1.0648982414261068,0.037781583819693106,28.272092794255137,1,3,0.5701054330436743,"[600, 1200, 2400]","[1.6090724042493716, 1.2858325875998826, 1.0681644436642919]","[1.628793490605542, 1.2872055850929156, 1.0648982414261068]",projection branch not continuity-certified,inf
linear_p5_q-1_b1.570796,5,-1,0.0,1.5707963267948966,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.4974651010516622,1.0722671306567728,1.0783759820140348,0.03315279100721323,32.34319338071639,1,3,0.5722647552089696,"[600, 1200, 2400]","[2.1382475445472378, 1.21473397836518, 1.0722671306567728]","[2.1507221277124264, 1.160412867589435, 1.0783759820140348]",projection branch not continuity-certified,inf
linear_p5_q-1_b0.000000,5,-1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.43808316275655146,1.1367384991782714,1.1373753932472699,0.03474762235545562,32.71413760486537,1,3,0.5599276497893805,"[600, 1200, 2400]","[2.0876873058400407, 1.8186649357016387, 1.1367384991782714]","[2.083943818689683, 1.8116274650636266, 1.1373753932472699]",projection branch not continuity-certified,inf
linear_p5_q-3_b3.141593,5,-3,0.0,3.141592653589793,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.2874836198494479,1.1452087869961298,1.1360464121397682,0.03650213615679222,31.37374706173278,1,3,0.5671282118106764,"[600, 1200, 2400]","[1.7065088184951582, 1.1801454212115547, 1.1452087869961298]","[1.7021968770782645, 1.157225133242559, 1.1360464121397682]",projection branch not continuity-certified,inf
linear_p5_q-2_b3.141593,5,-2,0.0,3.141592653589793,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.39522583922708043,1.1553596917716575,1.149861582113983,0.03636437862951781,31.771742988998177,1,3,0.5626264494399034,"[600, 1200, 2400]","[1.999386783534517, 1.8086682975503952, 1.1553596917716575]","[1.970925829769234, 1.802216212170451, 1.149861582113983]",projection branch not continuity-certified,inf
linear_p1_q-5_b4.712389,1,-5,0.0,4.71238898038469,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.36348308723393696,1.155502411627134,1.14048587632474,0.04074765258998994,28.357520941242992,1,3,0.5642210293495502,"[600, 1200, 2400]","[1.9134073407069665, 1.4941025443676756, 1.155502411627134]","[1.9105482514423966, 1.4846897179729595, 1.14048587632474]",projection branch not continuity-certified,inf
linear_p3_q-3_b0.000000,3,-3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.3744335807115954,1.1594043147242143,1.1634131482966146,0.040505440337982763,28.62342206503598,1,3,0.5965928236100562,"[600, 1200, 2400]","[1.9491653071957449, 1.1784735485153914, 1.1594043147242143]","[1.9504677222621152, 1.140312937818465, 1.1634131482966146]",projection branch not continuity-certified,inf
linear_p1_q-5_b3.141593,1,-5,0.0,3.141592653589793,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.41511427459957884,1.1887446680365645,1.1776429480031716,0.04175944682884842,28.466485030528503,1,3,0.5561069878614194,"[600, 1200, 2400]","[2.114617430325422, 1.4788280876302413, 1.1887446680365645]","[2.116500472639822, 1.4502506950069542, 1.1776429480031716]",projection branch not continuity-certified,inf
