x,y
-1.455868971792506628e-03,-9.939254057570625633e-01
-1.852761426194848588e-03,-9.919544711905867729e-01
-2.518618574008075692e-03,-9.900520010959508177e-01
-3.445848068864173098e-03,-9.882732901469222231e-01
-4.440612169817426645e-03,-9.865277860255067255e-01
-5.301481923242016073e-03,-9.847052434416649902e-01
-6.270685745403123575e-03,-9.829443906917115781e-01
-7.367535266641072646e-03,-9.812565414225310478e-01
-8.354627053725355648e-03,-9.795028423851797061e-01
-9.408853659431401853e-03,-9.777850323886055905e-01
-1.058150797769009943e-02,-9.761506090793148349e-01
-1.166694477553697172e-02,-9.744548836875820408e-01
-1.288290701073677158e-02,-9.728473408281702595e-01
-1.403814235820225603e-02,-9.711981770504256595e-01
-1.524532069621621112e-02,-9.695840275336498060e-01
-1.649495961308729275e-02,-9.680045421512941672e-01
-1.770919107300123266e-02,-9.663956915789806423e-01
-1.902386609153249725e-02,-9.648693158762962074e-01
-2.025460597899681262e-02,-9.632730585249639210e-01
-2.160064289254740033e-02,-9.617729064690204721e-01
-2.287781660647801238e-02,-9.602145946938138721e-01
-2.423778414030012748e-02,-9.587268963005809441e-01
-2.555935161718557447e-02,-9.572061215174678672e-01
-2.693440220063733626e-02,-9.557323528466015183e-01
-2.829083439934168553e-02,-9.542422273788067066e-01
-2.968306950481710768e-02,-9.527846816288009224e-01
-3.106736980893018418e-02,-9.513200749752006580e-01
-3.247789888392824120e-02,-9.498802257015392936e-01
-3.388478670206020865e-02,-9.484371188894530347e-01
-3.531406667724754089e-02,-9.470158810645952219e-01
-3.673947045544227741e-02,-9.455910080871871015e-01
-3.818752361134584300e-02,-9.441889024349783277e-01
-3.962825125368792112e-02,-9.427795387845626651e-01
-4.109480931973404083e-02,-9.413968003272999985e-01
-4.255088194953022401e-02,-9.400032920132078695e-01
-4.403292698937511657e-02,-9.386372839006599245e-01
-4.550677263373320569e-02,-9.372625696760873426e-01
-4.699925458705352804e-02,-9.359082274957567504e-01
-4.848967620241367849e-02,-9.345514932986194179e-01
-4.999147937632626715e-02,-9.332076497182082431e-01
-5.149741494185465507e-02,-9.318681477501894461e-01
-5.300754792215663092e-02,-9.305336992737657242e-01
-5.452804036806394028e-02,-9.292107302230708799e-01
-5.604562682433199966e-02,-9.278846444835960883e-01
-5.757980286126915259e-02,-9.265775454708408132e-01
-5.910407116775039799e-02,-9.252588648356122603e-01
-6.065112614151819265e-02,-9.239670011920869674e-01
-6.218748670170828191e-02,-9.226622581402295076e-01
-6.374041340714281523e-02,-9.213773955838054919e-01
-6.529224374860817526e-02,-9.200910904902971366e-01
-6.684595207020115060e-02,-9.188073447609773625e-01
-6.841248302958910510e-02,-9.175389840253989071e-01
-6.996675395535524589e-02,-9.162559437575530374e-01
-7.154415981300826788e-02,-9.150011964279702870e-01
-7.310190358645135555e-02,-9.137220778492135542e-01
-7.468940344009417087e-02,-9.124801646061868610e-01
-7.626108150813459829e-02,-9.112181874856657426e-01
-7.784743901513876962e-02,-9.099748912070103612e-01
-7.943255123167190790e-02,-9.087298299782848865e-01
-8.101704260889612541e-02,-9.074841460949811811e-01
-8.261477828893235009e-02,-9.062553259702202935e-01
-8.419751780649023520e-02,-9.050073214477232231e-01
-8.580719017001341153e-02,-9.037941820355729350e-01
-8.739940446282715159e-02,-9.025582357826689162e-01
-8.900700960251992089e-02,-9.013425742953576902e-01
-9.061033111724070555e-02,-9.001210513431739946e-01
-9.221490926799570664e-02,-8.989012369797638735e-01
-9.382946650754196705e-02,-8.976946040105031610e-01
-9.543560448261288742e-02,-8.964768654081286536e-01
-9.705626549695466065e-02,-8.952785656532847858e-01
-9.867035866308390690e-02,-8.940713744632630133e-01
-1.002904047683089023e-01,-8.928723163537932717e-01
-1.019119809965992607e-01,-8.916751583286892657e-01
-1.035304449242750169e-01,-8.904737954571149139e-01
-1.051598942781494517e-01,-8.892873669445976459e-01
-1.067853382399873152e-01,-8.880954947159018786e-01
-1.084136450580448358e-01,-8.869076568185060294e-01
-1.100457915634535239e-01,-8.857249848837391859e-01
-1.116730046505593210e-01,-8.845355193612076672e-01
-1.133114434955435623e-01,-8.833615640465068974e-01
-1.149463522111821567e-01,-8.821826528141373247e-01
-1.165818592530638992e-01,-8.810047095411543960e-01
-1.182232696836436198e-01,-8.798348992404969593e-01
-1.198567541275391279e-01,-8.786540781675969969e-01
-1.215038090075386684e-01,-8.774922456507977531e-01
-1.231434305913589322e-01,-8.763198978934539918e-01
-1.247882796140820233e-01,-8.751549163058250924e-01
-1.264361844087952824e-01,-8.739942406449106027e-01
-1.280763150318786903e-01,-8.728226739781327348e-01
-1.297308976086234689e-01,-8.716715533455537956e-01
-1.313749324612460967e-01,-8.705054025810126106e-01
-1.330270660075575095e-01,-8.693508332250241555e-01
-1.346788280285741712e-01,-8.681956533999730663e-01
-1.363261325890741671e-01,-8.670341832915431368e-01
-1.379851711289546978e-01,-8.658894783839494735e-01
-1.396353962581955432e-01,-8.647321288565157360e-01
-1.412932492366666404e-01,-8.635858080191484154e-01
-1.429485090098624733e-01,-8.624356457325480507e-01
-1.446014707118277731e-01,-8.612822143353782156e-01
-1.462635335563337857e-01,-8.601419050338330319e-01
-1.479201243288606193e-01,-8.589936961225452805e-01
-1.495802027310277060e-01,-8.578505936381758401e-01
-1.512408098254441335e-01,-8.567081893634722611e-01
-1.528989740832991939e-01,-8.555622208902621262e-01
-1.545629091258807486e-01,-8.544246619263918818e-01
-1.562250114520765953e-01,-8.532844356857587353e-01
-1.578862230764514485e-01,-8.521429665574762335e-01
-1.595518602766028693e-01,-8.510079160410365384e-01
-1.612129229527030361e-01,-8.498661503083465574e-01
-1.628796151236125700e-01,-8.487326340987124684e-01
-1.645464353173727856e-01,-8.475992924006461315e-01
-1.662082560002866305e-01,-8.464586894354156899e-01
-1.678782048847906883e-01,-8.453299833524406948e-01
-1.695415697959184731e-01,-8.441915742103889286e-01
-1.712104007601910061e-01,-8.430612248324916846e-01
-1.728792620605596186e-01,-8.419308885274877641e-01
-1.745431828274492392e-01,-8.407933312507718249e-01
-1.762167786403257830e-01,-8.396700203221714176e-01
-1.778820271477095094e-01,-8.385343682579657898e-01
-1.795523543168762726e-01,-8.374062414714816827e-01
-1.812226749702969264e-01,-8.362780627990035187e-01
-1.828884654897069695e-01,-8.351432298057430703e-01
-1.845632274684883001e-01,-8.340216589894718924e-01
-1.862315868991283041e-01,-8.328905974492033515e-01
-1.879028798640952069e-01,-8.317639086983568131e-01
-1.895742689741349296e-01,-8.306373135425361154e-01
-1.912431597827749519e-01,-8.295070398094651631e-01
-1.929166532557785863e-01,-8.283836047825455795e-01
-1.945878235121467070e-01,-8.272567069676145524e-01
-1.962583618162656585e-01,-8.261288864141345112e-01
-1.979317169141416310e-01,-8.250052250545615307e-01
-1.996031149740799815e-01,-8.238786497527168518e-01
-2.012751148003173729e-01,-8.227530048130060614e-01
-2.029485521100623524e-01,-8.216294732893675290e-01
-2.046176620008370028e-01,-8.204995139173931751e-01
-2.062929172952107926e-01,-8.193786942157186282e-01
-2.079653081080607979e-01,-8.182535865891454874e-01
-2.096365887848317400e-01,-8.171268675861237396e-01
-2.113117937183118245e-01,-8.160059628912732510e-01
-2.129805502821514318e-01,-8.148754719656483569e-01
-2.146559630620906434e-01,-8.137548934954380586e-01
